n_clusters,metric,features,undersampling,preprocessing,accuracy,f1_macro,macro_recall
2000,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8974766992498295,0.4928102783160629,0.47045039613624007
500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9045562303120839,0.5582727290143185,0.5142764951975297
500,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8974442243366999,0.4808130061369607,0.45675769692954393
1500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9131404323493435,0.678003019328702,0.651639066977666
1000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.8953225300122322,0.6239795369966191,0.636532503120859
2000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8782407257060587,0.5981256400115461,0.5977162534310149
1750,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9063640004762987,0.6099101586116339,0.5769840254059787
1500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.8960586280431699,0.6089987791438322,0.6115220689395927
500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.8958529535933492,0.5518104704066293,0.5035242350307916
1250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.8945756070102513,0.5591933528032599,0.5112312565178095
2000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9148074778899966,0.6824683060462396,0.6595372879647171
750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9096764416155186,0.6596574517044599,0.6461315739808718
500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.9000097424739388,0.6018023452134409,0.5869892057978486
750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9071217484493229,0.5921894775219528,0.5408077018839151
1750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.913037595124433,0.6762959489335564,0.6451386049058355
1000,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.899479318892822,0.49518971274969176,0.4654911629954148
1250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9128102707325257,0.6697963573326139,0.6445665444989135
250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.8987378083763626,0.6024966358137821,0.5992220872371293
750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.8950248433085441,0.5596396836498337,0.5062594634905003
250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.901352038883296,0.5404890668772172,0.4994734041345081
