n_clusters,metric,features,undersampling,preprocessing,accuracy,f1_macro,macro_recall
2000,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.881574816787365,0.35606171649820273,0.3554524261273229
500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9160794119875729,0.671602965737874,0.6349418144373814
500,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8812554801415906,0.35641793348709533,0.3556240451579005
1500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9206367247967612,0.7099618311523317,0.6778823073813043
1000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.9141255047142749,0.6946748108709245,0.6950264372022077
2000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8924701501423483,0.6325030069149934,0.6296096964818751
1750,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9125829463406185,0.6535371273933254,0.6152447980742775
1500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.9132919819439483,0.6974111806025317,0.6975995455964106
500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.9016659630435488,0.584543365405575,0.5307125208334048
1250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.9038850821074054,0.6041551812609006,0.5501178309266707
2000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9222388205111551,0.7192908574741242,0.6865148879291666
750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9188451920891112,0.6984181623732576,0.6685815137500724
500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.9097576288983427,0.6818659087151627,0.6867889479546437
750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9169778845841587,0.6823540517195407,0.6537211849720839
